Player,Height(in),Weight,Hand(in),Arm(in),Wingspan(in)
D.J. Moore,72.0,210,9.0,31.625,76.0
Calvin Ridley,72.5,189,9.125,31.625,75.0
Courtland Sutton,75.0,218,9.75,32.375,79.0
Dante Pettis,72.0,186,9.375,32.25,76.0
Christian Kirk,70.0,200,9.875,30.375,73.0
Anthony Miller,71.0,201,10.0,31.625,75.0
James Washington,71.0,213,9.75,31.5,75.0
DJ Chark,75.0,199,9.25,32.375,78.875
Michael Gallup,73.0,205,9.125,31.0,75.0
Tre'Quan Smith,74.0,210,9.5,33.0,78.0
Keke Coutee,69.0,181,8.375,29.75,72.0
Antonio Callaway,71.0,200,9.5,30.75,74.0
DaeSean Hamilton,73.0,203,9.375,31.0,75.0
Jaleel Scott,76.75,218,9.75,33.5,80.0
J'Mon Moore,75.0,207,9.375,32.875,78.0
Justin Watson,75.0,215,9.75,33.0,79.0
Daurice Fountain,73.0,210,9.5,33.125,78.0
Marquez Valdes-Scantling,76.0,206,10.0,34.125,81.0
Damion Ratley,74.0,200,9.5,32.5,78.0
Deon Cain,74.0,202,8.75,33.0,78.0
Ray-Ray McCloud,70.0,190,9.25,30.25,73.0
Russell Gage,72.0,184,9.13,31.38,75.0
Equanimeous St. Brown,77.0,214,9.0,33.0,80.0
Cedrick Wilson Jr.,74.0,197,9.75,32.0,77.0
Braxton Berrios,69.0,184,9.25,29.5,72.0
Javon Wims,75.0,215,9.75,33.5,79.0
Marcell Ateman,76.0,216,9.88,32.88,80.0
Richie James,70.0,178,9.25,31.25,73.0
Auden Tate,77.0,228,9.75,33.75,81.0
Trey Quinn,71.0,203,10.125,30.75,74.0
