Player,40yd,Vert(in),Bench,Broad(in),3cone,Shuttle
Drake London,4.55,36.0,n/a,120,n/a,n/a
Garrett Wilson,4.38,36.0,n/a,123,n/a,4.36
Chris Olave,4.39,32.0,n/a,123,n/a,n/a
Jameson Williams,4.39,33.0,n/a,130,n/a,n/a
Jahan Dotson,4.43,33.5,n/a,122,n/a,n/a
Treylon Burks,4.55,33.0,n/a,125,n/a,n/a
Christian Watson,4.36,38.0,n/a,136,n/a,n/a
Wan'Dale Robinson,4.44,29.5,n/a,123,n/a,n/a
John Metchie,4.59,32.0,n/a,120,n/a,n/a
Tyquan Thornton,4.28,40.0,n/a,136,n/a,n/a
George Pickens,4.47,33.0,n/a,129,n/a,n/a
Alec Pierce,4.41,40.5,n/a,128,n/a,n/a
Skyy Moore,4.41,30.0,n/a,120,n/a,n/a
Velus Jones Jr.,4.31,33.5,n/a,127,n/a,n/a
Jalen Tolbert,4.49,29.5,n/a,120,n/a,n/a
David Bell,4.65,31.0,n/a,115,n/a,n/a
Danny Gray,4.33,33.5,n/a,122,n/a,n/a
Erik Ezukanma,4.55,36.0,n/a,120,n/a,n/a
Romeo Doubs,4.53,31.5,n/a,126,n/a,n/a
Calvin Austin,4.32,36.0,n/a,130,n/a,n/a
Khalil Shakir,4.43,31.5,n/a,125,n/a,n/a
Montrell Washington,4.39,32.0,n/a,124,n/a,n/a
Kyle Philips,4.54,34.5,n/a,125,n/a,n/a
Jalen Nailor,4.50,34.0,n/a,122,n/a,n/a
Michael Woods II,4.62,32.5,n/a,120,n/a,n/a
Bo Melton,4.34,36.5,n/a,124,n/a,n/a
Dareke Young,4.61,32.0,n/a,118,n/a,n/a
Samori Toure,4.50,34.0,n/a,120,n/a,n/a
