Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Rec,Yds,TD,College/Univ,-9999
1,8,ATL,Drake London,WR,21,2024,0,0,2,16,16,39,179,2199,10,USC,LondDr00
1,10,NYJ,Garrett Wilson,WR,22,2024,0,0,2,15,15,40,219,2544,10,Ohio St.,WilsGa00
1,11,NOR,Chris Olave,WR,22,2024,0,0,2,18,18,37,182,2445,10,Ohio St.,OlavCh00
1,12,DET,Jameson Williams,WR,21,2024,0,0,1,5,5,23,41,760,6,Alabama,WillJa11
1,16,WAS,Jahan Dotson,WR,22,2024,0,0,2,8,8,34,90,1076,11,Penn St.,DotsJa00
1,18,TEN,Treylon Burks,WR,22,2024,0,0,1,6,6,27,53,699,1,Arkansas,BurkTr00
2,34,GNB,Christian Watson,WR,23,2024,0,0,2,11,11,28,77,1181,14,North Dakota St.,WatsCh00
2,43,NYG,Wan'Dale Robinson,WR,21,2024,0,0,0,6,6,27,120,1032,4,Kentucky,RobiWa01
2,44,HOU,John Metchie,WR,22,2024,0,0,0,1,1,19,17,165,0,Alabama,MetcJo00
2,50,NWE,Tyquan Thornton,WR,21,2024,0,0,1,3,3,27,37,365,2,Baylor,ThorTy00
2,52,PIT,George Pickens,WR,21,2024,0,0,2,17,17,40,141,2304,9,Georgia,PickGe00
2,53,IND,Alec Pierce,WR,22,2024,0,0,2,9,9,39,86,1475,7,Cincinnati,PierAl00
2,54,KAN,Skyy Moore,WR,21,2024,0,0,0,4,4,35,43,494,1,Western Michigan,MoorSk01
3,71,CHI,Velus Jones Jr.,WR,25,2024,0,0,0,3,3,27,12,135,1,Tennessee,JoneVe00
3,88,DAL,Jalen Tolbert,WR,23,2024,0,0,0,3,3,31,48,570,4,South Alabama,TolbJa00
3,99,CLE,David Bell,WR,21,2024,0,0,0,3,3,32,41,408,3,Purdue,BellDa02
3,105,SFO,Danny Gray,WR,23,2022,0,0,0,0,0,13,1,10,0,SMU,GrayDa02
4,125,MIA,Erik Ezukanma,WR,22,2024,0,0,0,0,0,4,1,3,0,Texas Tech,EzukEr00
4,132,GNB,Romeo Doubs,WR,22,2024,0,0,1,11,11,35,116,1317,13,Nevada,DoubRo00
4,138,PIT,Calvin Austin,WR,23,2024,0,0,0,2,2,23,27,347,2,Memphis,AustCa00
5,148,BUF,Khalil Shakir,WR,22,2024,0,0,1,8,8,36,69,1021,5,Boise St.,ShakKh00
5,162,DEN,Montrell Washington,WR,23,2023,0,0,0,0,0,21,4,2,0,Samford,WashMo00
5,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3,13,23,259,0,UCLA,PhilKy01
6,191,MIN,Jalen Nailor,WR,23,2024,0,0,0,1,1,26,20,345,4,Michigan St.,NailJa00
6,202,CLE,Michael Woods II,WR,22,2022,0,0,0,0,0,10,5,45,0,Oklahoma,WoodMi00
7,229,SEA,Bo Melton,WR,23,2024,0,0,0,2,,11,19,264,1,Rutgers,MeltBo00
7,233,SEA,Dareke Young,WR,23,2024,0,0,0,0,0,24,2,24,0,Lenoir-Rhyne,YounDa02
7,258,GNB,Samori Toure,WR,24,2023,0,0,0,2,2,22,13,160,1,Nebraska,TourSa00
